Index;Year;"Rank
Order";"Country
code";Country or Area;City code;Urban Agglomeration;Note;Latitude;Longitude;Population (millions)
453;1960;20;608;Philippines;22109;Manila;14;14,6042;120,9822;2
454;1965;19;608;Philippines;22109;Manila;14;14,6042;120,9822;3
455;1970;17;608;Philippines;22109;Manila;14;14,6042;120,9822;4
456;1975;15;608;Philippines;22109;Manila;14;14,6042;120,9822;5
457;1980;15;608;Philippines;22109;Manila;14;14,6042;120,9822;6
458;1985;17;608;Philippines;22109;Manila;14;14,6042;120,9822;7
459;1990;17;608;Philippines;22109;Manila;14;14,6042;120,9822;8
460;1995;15;608;Philippines;22109;Manila;14;14,6042;120,9822;9
461;2000;17;608;Philippines;22109;Manila;14;14,6042;120,9822;10
462;2005;18;608;Philippines;22109;Manila;14;14,6042;120,9822;11
463;2010;18;608;Philippines;22109;Manila;14;14,6042;120,9822;12
464;2015;18;608;Philippines;22109;Manila;14;14,6042;120,9822;13
465;2020;19;608;Philippines;22109;Manila;14;14,6042;120,9822;14
466;2025;19;608;Philippines;22109;Manila;14;14,6042;120,9822;15
467;2030;19;608;Philippines;22109;Manila;14;14,6042;120,9822;17
468;2035;17;608;Philippines;22109;Manila;14;14,6042;120,9822;19
469;1950;5;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;5
470;1955;6;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;6
471;1960;8;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;6
472;1965;8;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;7
473;1970;10;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;7
474;1975;12;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;8
475;1980;12;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;8
476;1985;12;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;9
477;1990;14;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;9
478;1995;16;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;9
479;2000;16;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;10
480;2005;17;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;11
481;2010;19;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;11
482;2015;22;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;12
483;2020;24;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;13
484;2025;26;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;13
485;2030;27;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;13
486;2035;28;643;Russian Federation;22299;Moskva (Moscow);;55,755;37,6218;13
487;1950;23;792;Turkey;22691;Istanbul;;41,0138;28,9497;1
488;1955;22;792;Turkey;22691;Istanbul;;41,0138;28,9497;1
489;1960;22;792;Turkey;22691;Istanbul;;41,0138;28,9497;1
490;1965;22;792;Turkey;22691;Istanbul;;41,0138;28,9497;2
491;1970;21;792;Turkey;22691;Istanbul;;41,0138;28,9497;3
492;1975;20;792;Turkey;22691;Istanbul;;41,0138;28,9497;4
493;1980;20;792;Turkey;22691;Istanbul;;41,0138;28,9497;4
494;1985;20;792;Turkey;22691;Istanbul;;41,0138;28,9497;5
495;1990;21;792;Turkey;22691;Istanbul;;41,0138;28,9497;7
496;1995;21;792;Turkey;22691;Istanbul;;41,0138;28,9497;8
497;2000;20;792;Turkey;22691;Istanbul;;41,0138;28,9497;9
498;2005;19;792;Turkey;22691;Istanbul;;41,0138;28,9497;10
499;2010;15;792;Turkey;22691;Istanbul;;41,0138;28,9497;13
500;2015;15;792;Turkey;22691;Istanbul;;41,0138;28,9497;14
501;2020;14;792;Turkey;22691;Istanbul;;41,0138;28,9497;15
502;2025;16;792;Turkey;22691;Istanbul;;41,0138;28,9497;16
503;2030;17;792;Turkey;22691;Istanbul;;41,0138;28,9497;17
504;2035;20;792;Turkey;22691;Istanbul;;41,0138;28,9497;18
505;1950;9;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;4
506;1955;9;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;5
507;1960;7;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;7
508;1965;6;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;7
509;1970;6;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;8
510;1975;7;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;9
511;1980;7;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;10
512;1985;8;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;10
513;1990;9;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;11
514;1995;11;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;11
515;2000;12;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;12
516;2005;14;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;12
517;2010;17;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;12
518;2015;20;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;12
519;2020;25;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;12
520;2025;27;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;13
521;2030;26;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;13
522;2035;26;840;United States of America;23052;Los Angeles-Long Beach-Santa Ana;;34,0317;-118,2417;14
523;1950;1;840;United States of America;23083;New York-Newark;;40,717;-74,0037;12
524;1955;2;840;United States of America;23083;New York-Newark;;40,717;-74,0037;13
525;1960;2;840;United States of America;23083;New York-Newark;;40,717;-74,0037;14
526;1965;2;840;United States of America;23083;New York-Newark;;40,717;-74,0037;15
527;1970;2;840;United States of America;23083;New York-Newark;;40,717;-74,0037;16
528;1975;3;840;United States of America;23083;New York-Newark;;40,717;-74,0037;16
529;1980;3;840;United States of America;23083;New York-Newark;;40,717;-74,0037;16
530;1985;3;840;United States of America;23083;New York-Newark;;40,717;-74,0037;16
531;1990;3;840;United States of America;23083;New York-Newark;;40,717;-74,0037;16
532;1995;4;840;United States of America;23083;New York-Newark;;40,717;-74,0037;17
533;2000;4;840;United States of America;23083;New York-Newark;;40,717;-74,0037;18
534;2005;6;840;United States of America;23083;New York-Newark;;40,717;-74,0037;18
535;2010;7;840;United States of America;23083;New York-Newark;;40,717;-74,0037;18
536;2015;9;840;United States of America;23083;New York-Newark;;40,717;-74,0037;19
537;2020;11;840;United States of America;23083;New York-Newark;;40,717;-74,0037;19
538;2025;10;840;United States of America;23083;New York-Newark;;40,717;-74,0037;19
539;2030;13;840;United States of America;23083;New York-Newark;;40,717;-74,0037;20
540;2035;13;840;United States of America;23083;New York-Newark;;40,717;-74,0037;21
