France;3,180,193;France;3,348,361;France;3,628,418;France;3,601,870;France;3,620,066;France;3,665,990;France;3,549,008;France;3,169,219;France;3,015,854;France;2,568,978;France;2,047,693;France;2,229,421;France;2,047,693;France;2,229,421;France;2,242,928;France;1,967,765;France;1,740,220;France;1,821,464;France;1,970,000;France;2,082,000;France;2227000;France;2270000;Germany;4661328;Germany;3742454;GERMANY;3308692;HUNGARY;441729;HUNGARY;507 225;HUNGARY;437 045
Germany;5,687,692;Germany;5,526,615;Germany;5,691,677;Germany;5,469,309;Germany;5,506,629;Germany;5,569,954;Germany;5,757,710;Germany;5,819,614;Germany;6,213,460;Germany;6,045,730;Germany;5,209,857;Germany;5,905,985;Germany;5,209,857;Germany;5,905,985;Germany;6,146,948;Germany;5,649,260;Germany;5,718,222;Germany;5,907,548;Germany;6,033,164;Germany;6,062,562;Germany;5645581;Germany;5120409;Hungary;498158;Hungary;406497;HUNGARY;394302;INDIA;5456857;INDIA;5 851 507;INDIA;6 014 691
Hungary;128,186;Hungary;137,398;Hungary;144,313;Hungary;141,513;Hungary;126,116;Hungary;122,666;Hungary;152,015;Hungary;190,823;Hungary;292,027;Hungary;346,055;Hungary;214,543;Hungary;211,461;Hungary;214,543;Hungary;211,461;Hungary;213,531;Hungary;217,84;Hungary;321,287;Hungary;437,599;Hungary;495,37;Hungary;472;Hungary;505400;Hungary;430988;India;4516017;India;3394446;INDIA;4399112;INDONESIA;1470146;INDONESIA;1 395 717;INDONESIA;1 196 664
India;818,193;India;801,36;India;814,611;India;894,796;India;1,161,523;India;1,511,157;India;1,638,674;India;2,019,808;India;2,253,729;India;2,332,328;India;2,641,550;India;3,557,073;India;2,641,550;India;3,557,073;India;3,927,411;India;4,174,713;India;3,898,425;India;3,844,857;India;4,125,744;India;4,488,965;India;4782896;India;5174645;Indonesia;1286848;Indonesia;691286;INDONESIA;1121967;ITALY;796394;ITALY;880 085;ITALY;591 067
Indonesia;89,007;Indonesia;292,71;Indonesia;279,187;Indonesia;299,257;Indonesia;322,044;Indonesia;408,311;Indonesia;500,71;Indonesia;297,062;Indonesia;411,638;Indonesia;600,628;Indonesia;464,816;Indonesia;702,508;Indonesia;464,816;Indonesia;702,508;Indonesia;838,388;Indonesia;1,052,895;Indonesia;1,206,368;Indonesia;1,298,523;Indonesia;1,098,780;Indonesia;1,177,389;Indonesia;1216615;Indonesia;1343714;Iran;821060;Iran;880997;ITALY;795856;JAPAN;7835519;JAPAN;8 997 440;JAPAN;8 234 681
Iran;119,419;Iran;277,985;Iran;323,216;Iran;452,075;Iran;582,099;Iran;788,658;Iran;1,077,190;Iran;904,5;Iran;997,24;Iran;1,273,781;Iran;1,394,075;Iran;1,599,454;Iran;1,394,075;Iran;1,599,454;Iran;1,649,311;Iran;1,000,089;Iran;743,68;Iran;1,090,846;Iran;982,337;Iran;1,164,710;Iran;1515396;Iran;1095526;Italy;915305;Italy;777165;JAPAN;7846955;KAZAKHSTAN;112540;KAZAKHSTAN;146 989;KAZAKHSTAN;144 624
Italy;1,701,256;Italy;1,738,315;Italy;1,579,696;Italy;1,427,081;Italy;1,321,631;Italy;1,142,105;Italy;1,038,352;Italy;1,211,594;Italy;1,284,312;Italy;1,023,774;Italy;843,239;Italy;838,186;Italy;843,239;Italy;838,186;Italy;790,348;Italy;671,768;Italy;658,206;Italy;697,864;Italy;1,014,223;Italy;1,103,516;Italy;1142210;Italy;1060068;Japan;9684298;Japan;8067557;KAZAKHSTAN;92417;MALAYSIA;702275;MALAYSIA;774 600;MALAYSIA;790 347
Japan;9,895,476;Japan;10,140,796;Japan;9,777,191;Japan;10,257,315;Japan;10,286,218;Japan;10,511,518;Japan;10,799,659;Japan;11,484,233;Japan;11,596,327;Japan;11,575,644;Japan;7,934,057;Japan;9,628,920;Japan;7,934,057;Japan;9,628,920;Japan;8,398,630;Japan;9,943,077;Japan;9,630,181;Japan;9,774,665;Japan;9,278,238;Japan;9,204,590;Japan;9693746;Japan;9728528;Malaysia;571632;Kazakhstan;74831;MALAYSIA;481651;MOROCCO;464864;MOROCCO;535 825;MOROCCO;559 645
Malaysia;254,09;Malaysia;282,83;Malaysia;358,785;Malaysia;395,38;Malaysia;344,284;Malaysia;471,975;Malaysia;563,408;Malaysia;502,973;Malaysia;441,661;Malaysia;530,81;Malaysia;489,269;Malaysia;567,715;Malaysia;489,269;Malaysia;567,715;Malaysia;533,695;Malaysia;569,62;Malaysia;601,407;Malaysia;595,134;Malaysia;614,671;Malaysia;513,445;Malaysia;460140;Malaysia;564800;Morocco;394652;Malaysia;485186;MOROCCO;403007;MEXICO;3509072;MEXICO;4 002 047;MEXICO;4 202 642
Mexico;1,549,925;Mexico;1,935,527;Mexico;1,841,008;Mexico;1,804,670;Mexico;1,575,447;Mexico;1,577,159;Mexico;1,684,238;Mexico;2,045,518;Mexico;2,095,245;Mexico;2,167,944;Mexico;1,561,052;Mexico;2,342,282;Mexico;1,561,052;Mexico;2,342,282;Mexico;2,681,050;Mexico;3,001,814;Mexico;3,054,849;Mexico;3,368,010;Mexico;3,565,469;Mexico;3,597,462;Mexico;4068415;Mexico;4100525;Mexico;3986794;Mexico;3176600;MEXICO;3145653;POLAND;483840;POLAND;612 882;POLAND;555 346
Netherlands;307,22;Netherlands;267,319;Netherlands;238,943;Netherlands;231,291;Netherlands;215,281;Netherlands;247,503;Netherlands;180,748;Netherlands;159,454;Netherlands;138,568;Netherlands;132,494;Netherlands;76,751;Netherlands;94,132;Netherlands;76,751;Netherlands;94,132;Netherlands;73,151;Netherlands;55,639;Netherlands;29,183;Netherlands;31,428;Netherlands;44,122;Netherlands;44,43;Morocco;376826;Morocco;402085;Poland;649864;Morocco;248430;POLAND;439421;PORTUGAL;322404;PORTUGAL;318 231;PORTUGAL;332 546
Others;119,65;Poland;504,972;Others;174,149;Others;168,361;Poland;322,061;Poland;601;Poland;613,2;Others;531,606;Others;702789;Poland;952,84;Poland;878,998;Others;486,785;Poland;878,998;Others;486,785;Others;491,511;Others;599,642;Others;643,615;Others;699,142;Others;832,683;Others;920,162;Netherlands;157280;Others;493784;Portugal;345704;Others;819108;PORTUGAL;289954;ROMANIA;509465;ROMANIA;513 050;ROMANIA;560 102
Poland;574,834;Portugal;246,724;Poland;347,875;Poland;311,132;Portugal;239,361;Portugal;226,728;Portugal;221,06;Poland;714,6;Poland;792,703;Portugal;175,155;Portugal;126,015;Poland;869,474;Portugal;126,015;Poland;869,474;Poland;838,133;Poland;654,756;Poland;590,159;Poland;593,504;Poland;660,603;Poland;681,837;Others;758672;Poland;659646;Romania;490412;Poland;451382;ROMANIA;420755;RUSSIA;608460;RUSSIA;729 864;RUSSIA;982 665
Portugal;252,29;Romania;78,165;Portugal;239,719;Portugal;250,832;Romania;95,247;Romania;122,185;Romania;194,802;Portugal;227,325;Portugal;176,242;Romania;245,308;Romania;296,498;Portugal;158,729;Romania;296,498;Portugal;158,729;Portugal;192,242;Portugal;163,561;Portugal;154,016;Portugal;161,509;Portugal;156,626;Portugal;143,096;Poland;689729;Portugal;294366;Russia;1719784;Portugal;264236;RUSSIA;1566317;SERBIA;4498;SLOVAKIA;1 080 000;SLOVAKIA;993 000
Romania;106,897;Russia;1,205,581;Romania;68,761;Romania;79,456;Russia;1,278,792;Russia;1,386,127;Russia;1,354,504;Romania;213,597;Romania;241,712;Russia;1,790,301;Russia;725,012;Romania;350,912;Russia;725,012;Romania;350,912;Romania;335,232;Romania;337,765;Romania;410,997;Romania;391,434;Romania;387,177;Romania;359,306;Portugal;175544;Romania;476769;Serbia;35115;Romania;438107;SERBIA;21263;SLOVAKIA;1000000;SLOVENIA;60 881;SLOVENIA;60 903
Russia;1,169,708;Serbia;12,74;Russia;1,250,682;Russia;1,219,750;Serbia;13,903;Serbia;15,194;Serbia;14,179;Russia;1,508,358;Russia;1,660,120;Serbia;11,628;Serbia;16,738;Russia;1,403,244;Serbia;16,738;Russia;1,403,244;Russia;1,990,155;Russia;2,233,103;Russia;2,192,245;Russia;1,887,193;Russia;1,384,399;Russia;1,303,989;Romania;359250;Russia;1767674;Slovakia;1100000;Russia;1435335;SLOVAKIA;1000000;SLOVENIA;68130;SOUTH AFRICA;633 337;SOUTH AFRICA;599 755
Serbia;5,269;Slovakia;181,783;Serbia;8,979;Serbia;11,972;Slovakia;281,347;Slovakia;223,542;Slovakia;218,349;Serbia;11,182;Serbia;9,903;Slovakia;575,776;Slovakia;461,34;Serbia;15,2;Slovakia;461,34;Serbia;15,2;Serbia;11,023;Serbia;11,032;Serbia;113,878;Serbia;103,15;Serbia;83,63;Serbia;80,32;Russia;1551293;Serbia;56449;Slovenia;199102;Serbia;23375;SLOVENIA;95797;SOUTH AFRICA;555889;SOUTH KOREA;4 243 597;SOUTH KOREA;4 127 252
Slovakia;126,831;Slovenia;122,949;Slovakia;182,003;Slovakia;225,718;Slovenia;118,199;Slovenia;131,646;Slovenia;177,951;Slovakia;295,391;Slovakia;571,071;Slovenia;197,843;Slovenia;212,749;Slovakia;561,933;Slovenia;212,749;Slovakia;561,933;Slovakia;639,763;Slovakia;926,555;Slovakia;975;Slovakia;971,16;Slovakia;1,000,001;Slovakia;1,040,000;Serbia;79912;Slovakia;1090000;South Africa;631983;Slovakia;985000;SOUTH AFRICA;499087;SOUTH KOREA;3757049;SPAIN;2 451 221;SPAIN;2 376 504
